,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,module_15,module_16,module_17,module_18,module_19,module_20,module_21,module_22,module_23,module_24,module_25,module_26,module_27,module_28,module_29,module_30,module_31,module_32,module_33,module_34,module_35,module_36,module_37,module_38,module_39,module_40,module_41,module_42,module_43,module_44,module_45,module_46,module_47,module_48,module_49,module_50,module_51,module_52,module_53,module_54,module_55,module_56,module_57,module_58,module_59,module_60,module_61,module_62,module_63,module_64,module_65,module_66,module_67,module_68,module_69,module_70,module_71,module_72,module_73,module_74,module_75,module_76,module_77,module_78,module_79,module_80,module_81,module_82,module_83,module_84,module_85,module_86,module_87,module_88,module_89,module_90,module_91,module_92,module_93,module_94,module_95,module_96,module_97,module_98,module_99,module_100,module_101,module_102,module_103,module_104,module_105,module_106,module_107,module_108,module_109,module_110,module_111,module_112,module_113,module_114,module_115,module_116,module_117,module_118,module_119,module_120,module_121,module_122,module_123,module_124,module_125,module_126,module_127,module_128,module_129,module_130,module_131,module_132,module_133,module_134,module_135,module_136,module_137,module_138,module_139,module_140,module_141,module_142,module_143,module_144,module_145,module_146,module_147,module_148,module_149,module_150,module_151,module_152,module_153,module_154,module_155,module_156,module_157,module_158,module_159,module_160,module_161,module_162,module_163,module_164,module_165,module_166,module_167,module_168,module_169,module_170,module_171,module_172,module_173,module_174,module_175,module_176,module_177,module_178,module_179,module_180,module_181,module_182,module_183,module_184,module_185,module_186,module_187,module_188,module_189,module_190,module_191,module_192,module_193,module_194,module_195,module_196,module_197,module_198,module_199,module_200,module_201,module_202,module_203,module_204,module_205,module_206,module_207,module_208,module_209,module_210,module_211,module_212,module_213,module_214,module_215,module_216
0,UGT2B17,NDUFB6,IFNA7,RN7SKP150,GNRH1,ZNF614,ARAP3,C22orf46,TBC1D13,RPL18,SNAPC4,PHGDH,GLUL,TRIL,RPL12P11,RPN1,HSD17B7P2,GCDH,COQ2,KCNN2,FMO2,SMARCD3,PRKX,SUCLG1,SDR39U1,TMEM94,AGRP,ZNF45,PRMT5,TSFM,SPPL2B,USP24,CLN5,SOAT1,ESS2,PTGDR,SFMBT1,ZNF44,LPIN1,ZNF223,C2orf83,ZNF696,COL2A1,GAS8,DCUN1D1,MT1E,FMOD,SETBP1,PBX1,GNG5,PDIA3,NTAN1,YIPF2,SLC27A3,TPM3,ASIC2,SMPX,IDH3A,FAM155A,MSX2,NEURL1,SMIM8,P4HA1,STXBP6,ZNF20,CA11,LYPLA2P2,SNRPB,SINHCAF,HIST3H2A,TFR2,ZBTB20,PCID2,SPATA2L,LSM4,CDC45,STEAP3,ARC,STAG3,FSD1,CNTN6,COBL,PELI1,DNM1L,MACO1,DCBLD2,TRAM2,PTRH2,SPA17,PRG3,SIDT2,COG5,KSR1,SLC36A1,SAMD14,H3F3AP6,C1orf174,CEP76,HADH,RELA,IFT122,RRP9,SLURP1,RABAC1,ZNF280D,NCS1,OTOR,CEP170,3-Mar,CNOT3,LFNG,ST7,GRIK5,TSR2,MARK4,KLHDC3,CYB5B,THG1L,RPL10,YARS,USP20,MORF4L1,ZBTB7A,SPANXB1,HBS1L,DAP3,TM9SF2,PDE4A,DOK1,ACP5,AOAH,HLA-E,CYTH4,GNB5,SUSD6,ABCC4,PFDN2,ACSL5,TBXT,GOLGA5,NTF3,GLA,ALDH5A1,LMO3,GSS,DET1,DNAJC6,TEX264,GABBR2,CD47,ZNF710-AS1,CCNDBP1,PVRIG,LY6G5C,TUB,NRDC,FAN1,RPL10P10,TTC22,CNNM3,FAM131A,CHD1,SLC25A28,CDX4,SSBP2,NFE2L3,RINT1,P2RY1,PTPN13,METTL4,PRPF4,MEOX1,MSC,NTS,MIS18A,ZNF33B,FBXO11,SHOX2,VPS54,ALG6,PARG,VBP1,CHD3,SIGMAR1,GCN1,LUC7L,AKAP8,UBFD1,GTPBP1,ARHGEF11,ILF2,ANXA7,ERCC8,ZNF175,NFAT5,WBP11,TRIM68,NAT1,P2RY2,NOD2,HILPDA,FZD7,TAGLN,NR4A3,CA12,CBLN1,CXCL2,CXXC1,CSN3,PTPN12,HCFC2,FBXO28,RRP15,IKBKG,AKAP8L,CHCHD7,ABHD17AP6
1,S1PR4,DCK,CYP4A11,CHRNA10,NXPE3,ERC2-IT1,LRRC2,EGFR,PCBD1,RPS15AP1,SPECC1L,NR5A2,GLUD1,SCGN,NOL8,SPTBN1,ALDH7A1,RGCC,CTNNBL1,SH3YL1,RAB6B,ZFP2,KAT6B,FLT4,TTLL1,INTS11,TGFBR1,HHLA3,KARS,OPN1SW,NOL6,TBX4,GFER,SIRT4,PDSS2,APOM,GZMM,DAPP1,ZNF638,SYNPO2,MED23,RN7SL724P,LINC00342,WASHC2C,FOSL2,STX16-NPEPL1,NR2E1,NXN,APPL1,ASXL3,REPS2,ANKRD28,MYD88,TAGLN2,INA,PRMT8,ZNF426,TAGLN3,NDN,TENM3,CDH8,DUSP8,HAPLN1,ARRB1,RAB15,ICAM5,WDR62,ABT1,RYK,CCT7,POLG,LRIG1,ANKRD40,APPL2,SELENOW,LIMD2,ZNF385D,TGFB1,LIMA1,TRO,CSNK1E,CERS1,CYBRD1,KCNF1,SYNGR1,CXCL13,CYP24A1,POGLUT2,DOHH,NPAT,COPS3,MRPS33,SCAPER,ADRA2A,MOSPD1,FAM117A,MRS2,TPSB2,TMCO3,EXOSC7,PLD3,CRIP2,FARP2,CD1B,CIB1,C1orf216,HHLA1,ILK,GOT2,HNRNPUL1,SLC6A11,FAM90A1,ALKBH4,DXO,PCTP,PLPBP,ACAP2,NDUFS3,ERCC3,TEF,ENTPD2,NDUFS5,WDR61,HIGD1AP14,TMEM104,UBL5,ARPIN,USP33,GPR3,ECHDC3,MS4A4A,IFI35,LAT2,CSTA,SOCS6,ADGRE1,HLA-DQA1,RABGEF1,PWP1,IGFLR1,IGKV1OR2-108,HABP4,PDIA5,PPP1R1A,RUFY3,SEC61G,M6PR,CCDC6,ABLIM3,TWIST1,OSBPL2,TANC2,MLH3,SMG1P3,CRNN,TRPC1,GIPR,SRMP1,UGT2B15,P2RX6,ATP11B,NDRG4,VAMP2,KCNG2,COPB2,TRAF4,RAC1,AHCYL2,TAT,JADE2,CNTLN,LMNB1,IPP,ZNF124,KPNA2P3,EEF1AKNMT,TOPBP1,HPSE2,SP3,BARD1,MYO5A,YWHAQ,LIMS2,LILRA3,GOLGA8A,EPN1,SRSF8,FBXO42,CHD8,CRTC3,CKS1BP2,PMEPA1,TBC1D3P1-DHX40P1,TUBB8P2,WNK1,HMGB3P1,NFKBIE,CAV2,PRR16,TLR6,RND3,YAP1,CHI3L2,GADD45B,LCMT2,TGFB2,TCAP,KRT31,PIAS2,DUOX1,NCR2,DDX1,SEC23IP,APEX2,SZT2,CACTIN,ARMC6
2,MUL1,ARMC1,MAP3K10,PIGR,EPB41L1,LMTK2,GNG12,MOCS1,ARG2,MATN1,RNF220,LAMB1,ATP13A3,HLA-F-AS1,NUP155,NIT2,DTNA,CGB3,ETHE1,SLC6A1,TRPM3,PEX11A,UBP1,IGHV3-73,SREBF2,RPL22P22,PANK2,HNRNPA3P1,NAB2,CYTH3,GRK4,SFTPA2,POU6F1,TMEM8B,DPY19L1P1,UTP3,OCA2,XRCC2,SLTM,NOX1,HNRNPA1,CEP350,RBM6,WAPL,LDHB,PNPLA4,PSMD11,METTL2B,KDM3B,AHR,PCK2,DNAJB1,CPPED1,LOXL1,ZFR2,GNG3,SPINT2,VAPB,INPP5A,WDR47,CALB1,NECAP1,CXCL12,TNFSF9,DNM1,NEUROD2,SUV39H1,ZNF80,KREMEN2,KIF16B,DNMT1,TPGS2,IPO5,CCDC57,GPX4,POLQ,PCDH11Y,CD36,ARF1P1,GEM,ETV1,ARHGEF10,PRR36,TSPAN2,YPEL1,TFPI2,VANGL1,PRRX1,ARHGEF2,TPRKB,HMGXB3,NDUFA5,MGAT2,CYP4F3,SDC3,KCTD3,CLDN15,CCT2,INTS6P1,UBE3A,MBOAT7,TAF1B,RAD51D,CIAO2B,DRG2,BSCL2,ADAMTS13,NCOA6,ARHGAP6,LSM14B,PLAAT3,RBM48,HEMK1,ZDHHC7,NOP53,CFAP43,CRYGA,NHP2P2,DHX35,MLH1,ZNF410,PPP2R3C,CCDC90B,PCNX1,GEMIN2,SEMA4A,FECH,GLO1,HRK,MILR1,SRPX2,HCP5,FAM50B,STK32B,AREG,HPGDS,ITGB2,LAIR1,TRIM22,PPP2R5C,IGKV1-13,MANF,DEGS1,ACSL6,MTCH2,HIF1AN,CRY2,ERP29,UPF3A,TMSB10,PIAS1,EPCAM,RAVER2,NEIL1,CNTFR,SLC41A3,PSMD12,LILRB5,TAF5L,GCM1,HIRA,JUN,MAPRE3,RAPGEF2,PRDM2,PJA1,BANP,KCNJ16,CCDC92,SAC3D1,SDS,PAICS,DONSON,ATXN7L1,CDCA4,IMPACT,POGLUT1,F5,7-Mar,HMGB2,HSPA14,WSB2,MPL,DLK2,BRPF1,PABPN1,RAB8B,ANXA10,KIF25-AS1,DIS3,H2AFV,COL4A6,SAFB2,SAR1A,FAM169A,SEC23B,MMP7,NCF2,APOA4,THBD,LDHC,GPC4,RBPMS,NR4A1,SERTAD3,RASSF9,RGS2,PLEKHM2,SIRPG,EPHB4,HEXA-AS1,CCL17,CCDC106,TRIM45,CDC42,KRI1,TMEM161A
3,SCNN1A,STS,KRT83,TEX15,PEX5L,RAB6A,FAM168A,KCNV2,KRAS,RPL12,CENPQ,CSDC2,PPARA,PANX1,CRYAB,TP53BP2,SSPN,ANOS1,ACTR3,ZSCAN31,IFNA8,ELP4,PDCD2,NDUFA4,BCR,HS2ST1,SART3,HIST1H3C,CIAPIN1,STAG2,TJAP1,SRGAP2,VARS,MYCL,EIF1,MIIP,C9orf106,SRSF11,RSF1,CHIA,MAPK1IP1L,VPS13A,ABCC10,ADO,CYP2A7P1,MT1F,FLRT3,UBXN2B,HSPB2,GALNT8,ADGRE5,STX7,PLCB4,SOCS3,PAK3,CYP7A1,GABRB2,MAPK8IP2,CAMK4,SYNGR3,SYT5,ARTN,ANXA11,OMD,WDR60,DLG4,PARP16,NACC2,RBM12,TUBB,DIAPH3,DPP3,EMC3,NCLN,ENPP4,CHTOP,PCDHA10,RAB11FIP1,DDC,ECSIT,PRDX6,CRABP2,MPP6,WSCD1,KLHL21,DPP4,GRIA2,PRDX4,CDR2L,HMGN3,ITSN2,PGAP3,NOP14-AS1,TMEM231,TIMM8A,IFT20,GIGYF2,ZBTB14,TENM1,DDAH2,PIK3C3,PRKAB1,EXD2,USE1,PRKCI,AP2M1,ANP32C,SYNE2,RMND5B,JMJD7,MBNL3,COPS6,NSFL1C,ARMC7,MDFI,GPAA1,RPL23,PLEKHJ1,FBXL6,SACM1L,PGM5,ATP5MPL,MRPL35,PDHB,CCT4,NDUFA1,TAF12,RCHY1,NFATC1,LILRB3,STAR,NOX3,LGALS9,S100A4,IBSP,ADRB2,PRR5-ARHGAP8,PRKCH,LMO2,CAPG,HLA-DQB2,YKT6,THNSL1,SLCO1A2,FAM174C,SLC9A3R1,TNFRSF10B,KDM6B,KCNB1,MYL12B,GSTM5,HES2,NYX,SNHG20,GFM1,MTIF2,FOXD4,USP5,GANAB,STK39,PC,PYGM,TUBG2,CCNK,NDFIP1,PIP4K2B,GGCT,ACSBG1,UBA6,TAF2,PPP6C,CYLC1,MED14,DACH1,NEIL3,PRPF3,RAB20,MTHFR,KHDC4,MAGOH,SLBP,RAN,ZNF34,ILF3,SLC9A5,HIC2,PLEKHG3,SRSF4,LETM1,ASXL1,HEATR1,AMN,SRSF9,LCMT1,CEP104,PPIP5K1,PIM1,FGF9,MTMR11,PAM,NPBWR2,TESC,CNN1,SIK1B,GSTA4,GAP43,SLC16A10,STK25,SLC18A2,ASCC1,TUFM,TOMM20,UBTF,ABCD1,NSD1,FKRP,RFXANK
4,AZU1,EIF1B,GPR87,HBBP1,MYF6,LRRC37A4P,HOXC4,PCDH9,RAD51B,RPL35,PRR15L,CLIC5,CDH20,OSGIN2,STK38,GNG10,ALDH7A1P1,ARHGEF4,BRD7P2,SVEP1,CACNG2,SYT17,SLF2,HSPA1A,GMPR2,HMCES,TCAF1P1,HNRNPDL,MAP9,MARS,SDK2,ULK1,ARHGEF3,MED31,NFE2L2,MOK,ETV2,PKM,POP4,TTTY1B,SRSF5,PIGH,MSH3,ABRAXAS2,FABP3P2,MT2A,SHFL,TCF4,SERF2,FAM114A1,PDZRN4,CPE,PLIN3,SVIL,EIF2D,RNF41,KCNS1,ATP1A3,KIF5A,KCNJ4,CNGB1,WASF1,ZNF395,HTR2A,STX1A,CRH,PPP1R17,POLR1C,TDP1,GPR45,RRP1B,MED6,PSMB3,CTNNB1,NUDT1,GP6,PLPPR1,GLDC,RRAD,YJU2,RBFOX2,RASL12,MMP17,ST3GAL5,GAD1,ASCL1,ANXA13,GUCA2B,MDM1,KIF2A,RBFA,PSMC2,CLN8,RABL2A,C1GALT1C1,GEMIN6,ADSS,UBE2Z,ADA,NLRX1,FBXO17,IL27RA,NACA4P,TP53AIP1,ATG4B,ACTR1B,RPL23AP53,RNH1,ZFP64,TTI1,SHCBP1L,BUD23,UCKL1,FFAR3,PABPC1,ATP5MC2,DMXL1,OVCA2,CDK11B,MTSS1,SPTSSA,ZBTB1,TBC1D19,MOB4,ETFA,PSMA5,PIN1,PDZD7,E2F5,LILRB1,CYTIP,RTP4,LRCH4,RPEL1,ADAM28,CEBPA,DPEP3,TCN1,FEM1C,ATP6V1D,OMP,LPCAT1,FAM8A1,ALDH2,ZKSCAN4,NDUFAF7,TMEM248,HMBOX1,SLC1A4,HEBP2,SLC66A2,PRPS2,CELA2B,LRP5L,SIGLEC6,SERHL2,UBOX5,TTC27,CES3,TYR,DLST,TCEA2,RAB26,WNT7B,TUBB1,TMCO1,HDAC9,CDK14,PI4KAP2,DUSP12,TBCCD1,KIF11,DDX3Y,C3orf18,LPL,NDUFS2,APLP2,MYH11,ETAA1,PSMG1,NSMCE4A,PSMD10,TMCC1,NFX1,PCDHGA10,ZFC3H1,SMG6,TAF1C,TAB1,PPP6R3,RANBP1,CUTC,PNO1,RPP30,TFE3,KLHL20,CXCL5,RNASE4,LRP10,ADGRL2,IGFBP5,FEZ2,ACTG2,KLF4,SHC1,TGFB2-OT1,YTHDF1,UEVLD,CAPZB,PCSK5,KLHL1,TTC19,RANGAP1,KRTAP5-8,PNPLA6,SEC22B,SLC19A2
5,TECRP1,PIGF,GPR35,MID2,NUDT15,API5,COTL1,RASSF2,VDAC1,RPL18A,CYP39A1,CAVIN3,PPP2R5A,MTUS1,TRAF5,PYGB,EMC9,POLR3B,SLC35F5,IL17RB,EHD3,TRH,RERE,CUX1,POLR3G,DHRS11,UNC119,HNRNPA2B1,EREG,DTX3,CDC42BPB,DAPK3,BDKRB1,MMP1,KLF12,IZUMO4,PYY2,GPR135,UBXN7,ICOS,PECR,CDK12,VPS50,MSRB1,KCNN1,CPQ,TRDMT1,SOX11,G0S2,VIM,RBCK1,GTF2F2,PTBP2,SNCAIP,P2RX5,HS3ST2,PHACTR1,RTN2,IDI2-AS1,SLC6A15,AAK1,ZC3HAV1,PLOD2,PRSS2,DUSP26,NAALAD2,RHOQ,RSL1D1,COCH,MRPL44,LMBRD1,UBL3,CYLD,EBF2,ARMCX3,WDR70,WDR82,GLRB,SERPINE2,EFNB3,TPM1,PITPNC1,TLX1,CALML4,LEPROTL1,FXYD6,OPRM1,DBR1,THY1,PPM1E,SMYD3,NDUFB2,TCF25,RCL1,TCEAL9,CMC2,BCL10,CEP192,TFG,DNTTIP2,VEZF1,CLDN6,TAOK2,TRIM39-RPP21,CRELD1,CHRM4,PPM1A,GPBP1L1,PYCR1,BAZ1B,UBB,CXorf56,IFT27,RDH11,RPL4P5,PUF60,NR2C1,TACO1,CAD,SARS,GPN1,RAPSN,TCOF1,PGAP2,UNKL,COX7B,INHBA,NUDT2,NIPAL2,DAB2,WAS,PLAAT4,AMPD3,LIMS3,GPR65,AXL,NAGA,ADA2,DOK4,MNAT1,IGKC,MEGF9,ZSCAN26,SIDT1,PUM1,EIF4BP7,FST,PSMD13,PRKAG2,CARS,AP3S2,GPC3,CYP4F2,NAA60,IL13,CLK1,ASIC3,ODF1,MYO15B,ARHGEF1,PPP3R1,MFSD13A,CNTNAP1,RECQL,PPP1CB,EPN2,PUS7,NFIL3,SCAMP5,GINS1,DSN1,PLK4,XIST,RAB7A,GARS,CTNNA2,ZFP69B,CENPU,SYNCRIP,BEST2,DUT,AKAP13,SEMA4G,LRRC3,SRRM2,METTL3,ZBP1,ARHGAP17,ZNF76,RAF1,PXMP2,ATP5F1C,WDR19,TRAPPC3,PRKAA2,ATIC,DRD4,HOXB7,BCL2L11,TLX3,LOX,MDFIC,HP,DUSP1,TRADD,EFEMP1,PTGS2,LCN1,SUGP1,KLRC2,PPDPF,PLEKHM1,REG1CP,PHACTR4,UTP18,SIN3B,RHBDF1
6,KDELR1,LSM3,RNU6-73P,LATS1,GLTPP1,SEL1L,PLPP3,CHST7,ZNF510,VHL,PLGRKT,STEAP1,SBF2,S1PR1,SMC5,N4BP2L1,SLC1A3,PEA15,ZCCHC14,ATP1A2,TMOD2,VRK2,SLC38A6,PRDX1,DEXI,SEPTIN9,CDC37,SUZ12,HDHD5,AVIL,SNRNP70,DPF2,SCP2,IQGAP2,AHCTF1,TMEM223,P2RX1,ASB8,PIK3CA,DNAJA2,SETD6,FAM120A,KIAA0753,JMJD1C,FADD,MTHFD2,LAMA2,CASK,PPCS,CDHR1,PPIB,ESD,DNAJB6,GALNT12,NR1H4,AK5,RYR2,KIF3C,C5orf30,TAC1,NXPE4,PLPPR3,LNCSRLR,SCGB2A2,EMX1,KCNAB2,S100A2,SDHB,NCAPD3,HSD17B12,GTSE1,LRP1B,MLX,SAE1,ARMCX2,SKA1,TMEM254,COL14A1,ZNF493,TMEM121,DSCAM,WLS,DDX52,PHLDA1,ARSJ,DKK1,ZNF75D,PDK4,PLCH2,EMC10,SLC9A8,DUS4L,HIF3A,LRP2BP,SEC61B,SDHAP2,NCOR1,EXOSC8,SLC37A1,TOM1,BIN3,CENPT,NADK,LRP12,AKR7A3,FBXL15,MRPS11P1,LRRC47,METTL22,LIG1,GNL3,POLR2J,GIPC1,RTL8C,HSPA4L,NME4,SLC29A1,SLC25A11,LIN37,TRPV5,CNIH1,EIF2S1,SH3PXD2A,SLC35A5,TOMM20P4,PDGFB,ATP5MC3,RPF1,CSNK1G2,WBP1L,CCNI,TAP1,CD84,GSTO1,RCBTB2,BLNK,CCDC198,TNFSF13,SAMHD1,FBXW11,IGKV1-17,MDK,HSPA5,ZPR1,GNPDA1,PLCB1,PPM1H,C3orf14,MAPK10,DTX4,UBASH3A,NLGN4X,KHSRP,HSPA13,TDRKH,MTRF1,CHKB,RAPGEF1,NPFFR1,ACSBG2,RNF43,DBP,NECAB3,BFSP2,MPRIP,PLA2G12A,PAK1IP1,PSMF1,SMNDC1,ERCC6L,TOR1B,AMMECR1,OFD1,DEPDC1,CTNNAL1,ISG20L2,ZWINT,H2AFY,CBFB,UFSP1,SREBF1,RGS13,ZBTB44,TUT1,PRB1,XAGE1A,L3MBTL1,MED7,ZNF219,SUPT20H,POLR3C,DENND10P1,ZHX3,ZNF32,OTUD4,HEPH,CCL5,PTGES3L-AARSD1,MXRA5,PRSS23,THBS1,LRBA,WDR33,CD83,NQO1,CEBPD,CDO1,NHEJ1,ZNF253,NAAA,XPO6,SLC39A7,PIP5K1C,AIFM1,ZNF143,DLGAP4,GAMT
7,ADPRH,FUT8,DSPP,CFAP74,ZNF536,UBE2G1,RSAD2,NEB,NRBP1,RPS6,METAP1,FNDC3B,GLUD2,EPHB2,AQP6,ARMH3,MFAP3L,MGP,VMP1,CCN3,KCNAB1,PLXNC1,DNAJB12,ATP6V1H,BCRP2,RANBP3,RAB11B,CPSF6,PRAMEF12,TFAP2B,MYBBP1A,GNB3,SH2D1A,SNAP29,TRMT2A,IL11RA,SIRPB3P,KCNH6,PLGLB1,DENND1C,ZNF23,PTCD2,ZNF362,BTAF1,HDAC7,H2AFJ,WAC,HMGXB4,SERPINB8,ANXA1,C11orf71,TMEM30A,PANK3,ISG20,SMPD3,NPY,VAMP1,ETS2,ZNF471,PTPRG-AS1,MPPED1,SLC5A12,BTG1,KCNC4,EFHC1,ITPKA,SALL1,EIF4EBP1,NUP85,SERGEF,CENPO,PTPN3,ZFYVE26,NSUN3,AP2S1,NRCAM,GRIK2,C1orf21,LSAMP,ST8SIA5,DAZ1,ITM2C,AMOTL2,C5,OTUB2,CXXC4,USP9X,JAK1,EFHC2,RAD51C,DUSP10,RHEB,HIP1,PSG2,GPER1,LSM5,MID1IP1,CAND1,SAG,HKDC1,DDX5,PREB,ACVRL1,ERLIN2,PAFAH2,AHSA1,APOF,MCUR1,KCTD5,STRN4,RFX2,WDR91,FRMD1,ZBED1,VPS13B,AP1AR,ANGPT4,CCDC51,SCAND1,ATG101,TXNDC9,BOLA2,C8A,ENOPH1,ARMT1,LAMTOR5,MPC2,MYNN,IL15RA,LCP2,ZNF318,B2M,RIN3,CTBS,ZNF250,LILRB4,HLA-DPA1,RAC2,LHFPL2,KAZALD1,JCHAIN,GCK,ABHD5,DHRS9,BACH2,PSME4,HUS1,MRPL23,CANT1,ADCYAP1R1,IQCK,ADCK2,CYCSP33,ALX1,SULT2A1,WDR3,IGF2-AS,ZER1,ZNF236,GVINP1,MAX,WBP2,PRR4,KLHL3,CERK,TNK2,CTXND1,CNOT4,GOLPH3,DSCC1,NCBP1,POLR2B,FAM20B,RBM34,DNMT3A,CENPJ,SUZ12P1,ADAMTSL3,RRAGD,POLD3,RAB27B,MAP3K11,RTCA,IST1,TAF15,POLR2A,SF3A2,AGO1,DVL3,ARIH2,SUMO2P1,IDI1,UBE2N,PGAM1,BBX,NPM1P22,SRF,NPC1,MSANTD3-TMEFF1,EMP1,ANKRD2,GJA1,ACTA2,EGR1,LMNA,SOCS1,SELE,LRP2,SCAMP2,PITRM1,MOGS,SCRN3,CNNM2,ARSE,PPARD,JUND,ATP5F1D
8,PLCE1,UBA3,ZNF556,NRDE2,SH3BP5,CUL4B,GSE1,BMP7,KHK,EEF1A1P13,TSNAX,LUM,SCD,ST8SIA1,GNL2,DYNC1LI2,PLPPR4,MSTN,SRGAP3,APC,PEBP1P2,CSGALNACT1,PKIA,TSC1,ARL15,DNAJC11,MTHFSD,URB2,THAP11,CYP27B1,FBXO31,EXOC7,ZNF142,BNIP2,NDUFA9,RFNG,ALDOB,CXorf21,SEC63,PRKAR1A,LUC7L3,SEMA4C,SENP3,NQO2,ECE1,TRIP4,CHL1,SNRK,IGFBP6,IQGAP1,EPHA2,WASF3,TRAV13-1,SCN3A,CELF3,C1GALT1,NEUROG3,C10orf95,ELL2P3,RGS7,KCNA3,ACP6,GBE1,CCKBR,MYH2,PRKAR2B,LPAR2,ARAP2,INTS7,CIB2,NSD2,GRIA3,NEK9,TNIP3,AIMP2,NUPR1,GDF11,ENOX2,RWDD2B,CRMP1,LTBP1,MATN2,SOX4,RNFT2,BCAR3,SEMA3C,TXNRD1,ZNHIT6,STAG3L4,PCMT1,ARHGEF17,SEM1,CDC14B,NCR3,RAP2C,NUP88,ABR,CYCSP19,TMPRSS11E,CACNB1,CIR1,BABAM1,CYB561D2,RIC8B,AVPR1B,KRR1,RHOD,NOL7,MTG1,SRPK2,GAS7,MDH2,HSPBP1,KLHL22,EEF1D,FBXL4,PI4KB,TRIP12,TREX2,UBIAD1,LINS1,ABCD1P2,TMEM126B,ALOX15,SLC30A5,COX7A2P2,NDUFAF1,COPS4,CDCP1,GNA15,PROCR,HLA-G,IL2RA,IGSF3,OTULINL,CX3CR1,IL16,SLC15A3,FJX1,MLNR,IGLV3-25,DNAJC12,ATP9A,DCUN1D4,GREB1L,UPF2,TMOD3,GSTK1,RYR1,MYL6,TRAPPC12,PDE6B,IGHMBP2,MTNR1B,BMP15,CEP162,FLT3,VPS11,SCNN1D,AVPR2,SYNDIG1,SNTA1,LETMD1,OR11A1,TMED7,DLL3,IFRD1,ESRRG,ABHD8,TMEM80,POU4F1,ZNF702P,NR2E3,NHLH1,KIF23,KMT2D,ZNF135,DHFR,XPO1,PPID,CES2,RAB6D,JRK,RBM10,OXSR1,NAA40,EMILIN2,EHD1,TUBGCP2,PCDHB2,EVI5,TIAL1,SH2B1,ECD,MGAM,HNRNPF,VASP,GALNT11,SNX15,MAP2K6,NDRG1,TMEM47,VCX3A,HBEGF,FMO1,TIPARP,CCL20,ATF1,UPF1,CUEDC2,DKK4,BNC2,JOSD1,SLC35A2,KLKB1,PLAG1,COX16
9,DPEP2,MMP14,PRPH2,HHIPL2,DOCK10,PDE3A,GADD45G,GJA5,IMPA1,PSMB7,WNT5A,COL5A2,GLULP4,GABARAPL2,C5orf22,CAMK1D,CLDN10,FAM13A,ZNF623,ERBB4,PNMA8A,ZDHHC13,IDE,MED28,KAT5,TNFAIP1,GTF2IRD2,ERI2,RBM23,CTDSP2,PLD2,MAP4K2,FOXJ2,TWF1,CA14,CARD10,BCL2L10,ZNF587,DDX27,NPIPB6,RPGRIP1L,CREBBP,NANOGP8,PSEN2,NCSTN,KHNYN,C6orf15,MAOA,RBKS,CD164,ANXA5,CLEC11A,COPZ2,SEPTIN6,GDAP1L1,SLC17A7,VSNL1,FAM234B,AGAP2,SV2B,WNT10B,HMG20A,BNIP3P1,PDXK,CALB2,CNKSR2,TRAIP,DNAJB14,CFAP20,MVK,PRCP,TAOK3,POP7,ARMC9,UROD,BIRC5,SUSD5,ATXN10,TUBA4B,C12orf43,SYNC,RNF113A,ACOX2,CCND1,ITGBL1,POU2F3,RBMX2,PSPH,CFAP69,PEX3,ZBTB16,BET1,DAGLA,FOXJ1,RFK,CNIH4,GATAD1,WDR12,GGNBP2,HESX1,LTK,MPDU1,NMBR,TSEN34,FUZ,RORA,PADI3,TSSC4,ADCY7,NUP62,APLNR,UBE2D4,TKFC,EEF2KMT,SCGB1D2,UFL1,GGA2,MYL7,AXIN1,ATF4,CDC73,PSMC6,DAD1,TTC1,OXCT1,INTS14,FAM216A,FURIN,CALHM2,RNF130,LYN,SPATS2L,ENTPD1,TMSB4X,MORC1,TSPAN14,SH3TC1,WIPF1,PMP22,AP4S1,IGHV1-69,ABHD6,FKBP11,GRIN2C,BPTF,PEX5,MYCBP,CROCCP2,BFAR,PTPRD,ITSN1,ZEB1,TECTA,TEX28P2,FAM92A,SRRM1,SAP25,SLC6A9,ABCF3,SP140,UBA5,FBXL2,ZNF200,PRKCE,FGF17,ALDH9A1,RALA,RGS20,MGLL,CKAP2,PRIM2,TMSB15A,RPS4Y1,FEN1,PARPBP,GALC,BAZ1A,E2F8,IQCB1,EPB41L2,SCML2,FBXO21,THRA,AP1G1,ARL17B,BCL2L2-PABPN1,RBM14,RAD54L2,TEN1-CDK3,MAN2A2,HMGN2P3,STX11,PER2,MID1,RAB21,WDR77,FGF23,RBM47,PTGER2,SLC39A14,INSIG2,IGSF1,TPM2,IER2,LTBP2,PLEKHA5,CXCL3,ODR4,CD82,PPP2R2D,VPS35L,RPS6KC1,FSCN2,RBM22,CLUAP1,CEP164,SGTA
